_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
出,5,1,13,4,5,Exit,Leave,しゅつ,すい,で.る,-で,2,Exit,しゅつ,,!で,Mountain,だ.す,!だ,-だ.す,い.でる,い.だす,Go Out,Come Out,Put Out,Protrude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
右,5,1,602,4,5,Right,,う,ゆう,みぎ,,2,Right,^う,ゆう,!みぎ,Narwhal,,,,,,,,,,,,Mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四,5,1,47,4,5,Four,,し,,よ,よ.つ,2,Four,し,,!よん,Mouth,よっ.つ,!よ,よん,,,,,,,,,Legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左,5,1,630,4,5,Left,,さ,しゃ,ひだり,,2,Left,さ,,!ひだり,Narwhal,,,,,,,,,,,,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本,5,1,10,4,5,Book,Present,ほん,,もと,,2,Book,ほん,,!もと,Book,,,,,,Main,Origin,True,Real,,^Origin,,,,,,,,,,,^Real,,,,^Main,,,Counter For Long Cylindrical Things,,,,,,,,,,,,,,,,,,
正,5,1,143,3,4,Correct,Justice,せい,しょう,ただ.しい,ただ.す,2,Correct,せい,しょう,!ただ,Ground,まさ,!まさ,まさ.に,,,Righteous,10**40,,,,,Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉,5,1,737,2,2,Jewel,Ball,ぎょく,,たま,たま-,2,Ball,!ぎょく,,たま,King,-だま,,,,,,,,,,,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
田,5,1,90,3,4,Rice Field,Rice Paddy,でん,,た,,2,Rice Paddy,!でん,,た,Rice Paddy,,,,,,,,,,,^Rice Field,,,,,,,,,,,^Field,,,,,,,,,,,,,,,,,,,,,,,,,
白,5,1,483,4,5,White,,はく,びゃく,しろ,しら-,2,White,はく,,!しろ,White,しろ.い,!しら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目,5,1,76,4,4,Eye,Class,もく,ぼく,め,-め,2,Eye,!もく,,め,Eye,ま-,,,,,Look,Insight,Experience,Care,,,,,,,,,,,,,,,,,,,,Favor,,,,,,,,,,,,,,,,,,
石,5,1,342,2,3,Stone,,せき,しゃく,いし,,4,Stone,せき,,!いし,Stone,,,,,,,,,,こく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
立,5,1,58,4,4,Stand Up,Rise,りつ,りゅう,た.つ,-た.つ,2,Stand,りつ,りゅう,!た,Stand,た.ち-,,た.てる,-た.てる,た.て-,Set Up,Erect,,,りっとる,,,たて-,-た.て,-だ.て,-だ.てる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
万,3,2,375,4,5,Ten Thousand,"10,000",まん,ばん,よろず,,3,Ten Thousand,まん,ばん,,Leaf,,,,,,,,,,,,Sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久,3,5,688,2,2,Long Time,Old Story,きゅう,く,ひさ.しい,,32,Long Time,きゅう,^く,!ひさ,Prison,,,,,,,,,,,,Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今,4,2,49,4,5,Now,,こん,きん,いま,,3,Now,こん,,!いま,Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
元,4,2,192,3,4,Beginning,Former Time,げん,がん,もと,,3,Origin,げん,がん,!もと,Origin,,,,,,Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公,4,2,118,2,4,Public,Prince,こう,く,おおやけ,,3,Public,こう,,,Fins,,,,,,Official,Governmental,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内,4,2,44,2,3,Inside,Within,ない,だい,うち,,3,Inside,ない,,!うち,Head,,,,,,Between,Among,House,Home,,^Within,Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分,4,2,24,4,,Part,Minute Of Time,ぶん,ふん,わ.ける,わ.け,3,Part,ぶん,ふん,!わ,Fins,わ.かれる,,わ.かる,わ.かつ,,Segment,Share,Degree,One's Lot,ぶ,^Minute,Sword,,,,,,,,,,^Separate,,,,^Understand,,,Duty,Understand,Know,Rate,1%,Chances,Shaku/100,ぶ,,,,,,,,,,,
切,4,2,324,3,4,Cut,Cutoff,せつ,さい,き.る,-き.る,3,Cut,せつ,,!き,Seven,き.り,,-き.り,-ぎ.り,き.れる,Be Sharp,,,,,,Sword,-き.れる,き.れ,-き.れ,-ぎ.れ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
